City,County,Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error
Colorado Springs,El Paso,80921,14040,652,6.4,2.2,1002,230,33.3,23.7,846,237,9.7,8.8,4309,432,3.6,1.8,3283,384,4.3,3.1,2415,386,8.5,5.9,1199,249,14.3,16,986,264,0,76.6
Colorado Springs,El Paso,80922,18774,784,6.8,1.7,1070,266,13.1,12.1,1295,317,17.1,10.7,8753,646,7.9,2.7,3837,319,2.6,2,2067,336,1,1.6,1220,242,0,11.4,532,164,0,**
Colorado Springs,El Paso,80923,19418,766,6.8,1.8,1214,289,20.1,12.5,1136,312,11.6,8.1,10280,704,7.2,3,4014,384,2.4,1.7,1703,300,6.8,3.7,738,157,0,19.3,333,108,0,82.3
Colorado Springs,El Paso,80924,3214,274,7.8,4.6,193,78,17.7,26.7,219,103,48.5,37.9,1821,207,1.4,1.7,568,154,4.7,5.5,347,119,18.3,16.2,9,15,0,**,57,39,0,**
Colorado Springs,El Paso,80925,4599,495,8.7,3.1,326,114,48.1,18.9,254,125,0,22.6,2263,355,7.4,5.1,959,237,4.9,5.4,535,191,11.8,12.3,145,75,13.9,24.1,117,72,0,**
Colorado Springs,El Paso,80926,1024,219,3.4,3.7,0,12,0,**,53,60,0,68,381,124,7.2,8.2,115,77,0,31,264,116,0,23.1,137,62,0,33.2,74,39,0,64.7
Colorado Springs,El Paso,80927,741,272,20.5,18,17,28,0,**,25,41,0,**,520,226,11.7,12.2,93,81,56.3,52.2,59,58,0,57.1,27,28,0,**,0,12,0,**
Colorado Springs,El Paso,80928,888,224,9,6,56,38,57.1,43.6,37,24,0,82.3,307,144,7.1,7.1,155,56,10,12.2,235,128,7.1,11.3,67,30,0,52.4,31,22,0,100
Colorado Springs,El Paso,80929,267,176,0,15.9,0,12,0,**,20,30,0,66.3,19,29,0,**,71,65,0,34.8,105,116,0,35.7,38,43,0,79.3,14,21,0,79.3
Colorado Springs,El Paso,80930,696,163,7.8,7.8,44,44,39.4,60.6,20,23,65,59.7,218,105,3.6,9,96,63,0,37.6,76,59,0,41.5,178,109,0,42.8,64,78,0,42.4
Colorado Springs,El Paso,80931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80938,34,53,0,**,0,12,0,**,0,12,0,**,0,12,0,**,17,27,0,**,17,26,0,**,0,12,0,**,0,12,0,**
Colorado Springs,El Paso,80939,0,12,0,**,0,12,0,**,0,12,0,**,0,12,0,**,0,12,0,**,0,12,0,**,0,12,0,**,0,12,0,**
Colorado Springs,El Paso,80940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Springs,El Paso,80942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
